Prep,Day,Treatment,Condition,Cell #,Cell Area,LAMP1(5-500),Size LAMP1(5-500),LAMP1(>500),Size LAMP1(>500),LC3(5-500),Size LC3(5-500),LC3(>500),Size LC3(>500),LAMP1+LC3(5-500),Size LAMP1+LC3(5-500),LAMP1+LC3(>500),Size LAMP1+LC3(>500),
HA851,D2,CTRL,LG,25,657493,672,17.79,0,0,81,17.47,0,0,41,26.56,0,0,
HA851,D2,CTRL,NG,35,662169,247,22.64,2,612.5,56,18.87,0,0,51,19.12,0,0,
HA851,D2,CTRL,NG,33,315361,265,21.9,2,729,64,33.56,0,0,59,34.37,0,0,
HA851,D2,CTRL,NG,15,309460,170,27.76,0,0,46,20.89,0,0,43,20.97,0,0,
HA851,D2,CQ,N1,8,198229,163,23.76,0,0,21,12.62,0,0,21,12.62,0,0,
HA851,D2,CQ,N1,19,228074,81,30.54,0,0,7,12.14,0,0,5,7.2,0,0,
HA851,D2,CQ,N1,19,220883,88,27.63,0,0,0,0,0,0,0,0,0,0,
HA851,D2,CQ,LG,28,568592,354,20.42,1,543,29,29.13,0,0,14,19.43,0,0,
HA851,D2,CQ,LG,24,399005,311,19.16,0,0,31,20.13,0,0,20,25.2,0,0,
HA851,D2,CQ,LG,43,664740,462,21.15,0,0,25,26,0,0,13,29,0,0,
HA851,D2,CQ,NG,9,70417,107,24.08,0,0,5,142,0,0,1,10,0,0,
HA851,D2,CQ,NG,12,91632,43,48.93,0,0,23,20.74,0,0,14,23.21,0,0,
HA851,D2,CQ,NG,3,25959,8,52.34,0,0,5,28.6,0,0,2,59.5,0,0,
HA851,D2,D+T,N1,14,146601,63,18.65,0,0,6,11.33,0,0,6,11.16,0,0,Cropped X 1300
HA851,D2,D+T,N1,12,143225,128,26,0,0,24,21.45,0,0,23,21.82,0,0,
HA851,D2,D+T,N1,22,250050,145,35.23,1,730,56,33.69,0,0,55,33.02,0,0,
HA851,D2,D+T,LG,23,359230,189,25.39,0,0,25,16.68,0,0,19,18.1,0,0,
HA851,D2,D+T,LG,15,269346,100,15.98,0,0,17,12,0,0,5,15.2,0,0,
HA851,D2,D+T,LG,15,113164,366,22.56,0,0,21,12.42,0,0,11,14,0,0,
HA851,D2,D+T,NG,25,319042,42,18.64,0,0,0,0,0,0,0,0,0,0,
HA851,D2,D+T,NG,20,388232,108,16.74,0,0,24,14.8,0,0,24,14.58,0,0,
HA851,D2,D+T,NG,27,680787,158,26.81,0,0,34,19.32,0,0,34,19.29,0,0,
HA851,D4,CTRL,N1,34,237636,552,33.97,5,711,192,16.13,0,0,102,21.71,0,0,
HA851,D4,CTRL,N1,12,76929,111,17.83,0,0,25,14,0,0,9,25,0,0,
HA851,D4,CTRL,N1,29,262430,138,30.93,1,587,32,20.43,0,0,24,24.29,0,0,
HA851,D4,CTRL,LG,33,516182,602,18.16,0,0,137,18.03,0,0,42,27.17,0,0,
HA851,D4,CTRL,LG,20,430855,642,18.27,3,1456,238,19.55,0,0,86,29.5,0,0,
HA851,D4,CTRL,LG,19,327366,548,17.05,1,715,147,13.99,0,0,31,25.96,0,0,
HA851,D4,CTRL,NG,37,347206,896,40.32,11,1604,1090,24.83,1,821,555,25.37,1,817,
HA851,D4,CTRL,NG,10,83745,293,23.07,1,809,126,14.61,0,0,36,22.17,0,0,
HA851,D4,CTRL,NG,17,99489,469,27.28,8,1242.25,487,22.71,0,0,244,23.9,0,0,
HA851,D4,CQ,N1,44,174577,110,30.17,0,0,30,23.2,0,0,22,26.95,0,0,
HA851,D4,CQ,N1,35,297044,205,31.72,2,1217,79,21.37,2,865,70,22.03,2,856.5,
HA851,D4,CQ,N1,21,69618,313,36.12,5,1189.8,205,21.17,0,0,135,25.79,0,0,
HA851,D4,CQ,LG,33,271805,305,21.17,0,0,382,19.47,0,0,41,20.37,0,0,
HA851,D4,CQ,LG,16,86611,369,32.81,4,563.5,465,24.19,1,522,190,19.52,0,0,
HA851,D4,CQ,LG,13,113304,146,26.16,0,0,173,17.79,0,0,25,16.72,0,0,
HA851,D4,CQ,NG,13,139956,298,29.76,1,1240,255,32.23,2,825,164,22.49,1,1007,
HA851,D4,CQ,NG,21,142607,327,26.7,4,3036.25,323,14.16,0,0,81,14.09,0,0,
HA851,D4,CQ,NG,10,89529,152,24.96,4,1173,301,23.21,1,675,93,23,1,675,
HA851,D4,D+T,N1,13,160397,140,29.53,1,1009,99,18.22,0,0,31,36.67,0,0,
HA851,D4,D+T,N1,34,432918,264,29.07,2,3011,139,24.88,0,0,53,47.39,0,0,
HA851,D4,D+T,N1,32,427788,406,26.87,2,622.5,139,19.33,0,0,62,30.88,,,
HA851,D4,D+T,LG,18,456593,350,25.97,2,748.5,139,16.33,0,0,50,29.12,0,0,
HA851,D4,D+T,LG,17,297886,312,20.31,0,0,131,11.79,0,0,38,19.26,0,0,
HA851,D4,D+T,LG,19,185236,334,25.31,0,0,85,16.08,0,0,33,25.06,0,0,
HA851,D4,D+T,NG,34,294621,380,19.93,1,735,281,14.04,0,0,81,15.77,0,0,
HA851,D4,D+T,NG,33,488592,643,23.98,1,507,274,12.66,0,0,91,14.14,0,0,
HA851,D4,D+T,NG,22,281798,152,22.13,0,0,72,18.58,0,0,33,18.24,0,0,
